cybermentor_voice_001|Welcome to CyberMentor! I am Christophe Foulon, and I will be your cybersecurity career coach.|Welcome to CyberMentor! I am Christophe Foulon, and I will be your cybersecurity career coach.
cybermentor_voice_002|Breaking into cybersecurity is not about luck; it is about deliberate practice, strategy, and continuous growth.|Breaking into cybersecurity is not about luck; it is about deliberate practice, strategy, and continuous growth.
cybermentor_voice_003|Do not let imposter syndrome hold you back. Every single CISO started exactly where you are today.|Do not let imposter syndrome hold you back. Every single CISO started exactly where you are today.
cybermentor_voice_004|If you enjoy defensive operations and threat analysis, a Tier 1 Security Operations Center analyst role is a fantastic entry point.|If you enjoy defensive operations and threat analysis, a Tier 1 Security Operations Center analyst role is a fantastic entry point.
cybermentor_voice_005|For candidates interested in governance, risk, and compliance, frameworks like NIST CSF and ISO 27001 are essential.|For candidates interested in governance, risk, and compliance, frameworks like NIST CSF and ISO 27001 are essential.
cybermentor_voice_006|Cloud security engineers need a strong foundation in identity access management, Kubernetes, and Terraform infrastructure as code.|Cloud security engineers need a strong foundation in identity access management, Kubernetes, and Terraform infrastructure as code.
cybermentor_voice_007|CompTIA Security Plus SY0-701 provides a broad overview of threat vectors, cryptography, and network security principles.|CompTIA Security Plus SY0-701 provides a broad overview of threat vectors, cryptography, and network security principles.
cybermentor_voice_008|When preparing for the CySA Plus exam, focus heavily on log analysis, packet inspection, and vulnerability remediation.|When preparing for the CySA Plus exam, focus heavily on log analysis, packet inspection, and vulnerability remediation.
cybermentor_voice_009|I recommend dedicating ten hours each week to hands-on labs on TryHackMe, HackTheBox, and OverTheWire.|I recommend dedicating ten hours each week to hands-on labs on TryHackMe, HackTheBox, and OverTheWire.
cybermentor_voice_010|Let us begin our incident response drill. A workstation has flagged an alert for suspicious PowerShell execution.|Let us begin our incident response drill. A workstation has flagged an alert for suspicious PowerShell execution.
cybermentor_voice_011|Walk me through your step-by-step triage. How would you isolate the host and contain the lateral movement?|Walk me through your step-by-step triage. How would you isolate the host and contain the lateral movement?
cybermentor_voice_012|Always verify email headers for SPF, DKIM, and DMARC alignment before releasing quarantined messages.|Always verify email headers for SPF, DKIM, and DMARC alignment before releasing quarantined messages.
cybermentor_voice_013|Great work on that answer! You accurately identified the indicators of compromise and followed proper escalation paths.|Great work on that answer! You accurately identified the indicators of compromise and followed proper escalation paths.
cybermentor_voice_014|Based on your response, your technical depth scored 88 out of 100 on our objective four-pillar rubric.|Based on your response, your technical depth scored 88 out of 100 on our objective four-pillar rubric.
cybermentor_voice_015|Keep up the momentum! Review the study milestones in your progress dashboard, and let us tackle the next drill tomorrow.|Keep up the momentum! Review the study milestones in your progress dashboard, and let us tackle the next drill tomorrow.
